datetime,action,side,volume,price,layer,pnl
2025-07-11 00:00:00+00:00,fill,sell,0.01,3324.93,1.0,
2025-07-11 00:00:00+00:00,fill,sell,0.01,3326.93,2.0,
2025-07-11 00:00:00+00:00,fill,sell,0.01,3328.93,3.0,
2025-07-11 00:00:00+00:00,fill,sell,0.01,3330.93,4.0,
2025-07-11 00:00:00+00:00,fill,sell,0.01,3332.93,5.0,
2025-07-11 01:00:00+00:00,take_profit,sell,0.01,3324.93,,2.0
2025-07-11 01:00:00+00:00,take_profit,sell,0.01,3326.93,,2.0
2025-07-11 01:00:00+00:00,take_profit,sell,0.01,3328.93,,2.0
2025-07-11 01:00:00+00:00,take_profit,sell,0.01,3330.93,,2.0
2025-07-11 02:00:00+00:00,fill,sell,0.01,3331.6,1.0,
2025-07-11 02:00:00+00:00,fill,sell,0.01,3333.6,2.0,
2025-07-11 03:00:00+00:00,fill,sell,0.01,3335.6,3.0,
2025-07-11 04:00:00+00:00,take_profit,sell,0.01,3329.6,,2.0
2025-07-11 04:00:00+00:00,take_profit,sell,0.01,3331.6,,2.0
2025-07-11 04:00:00+00:00,take_profit,sell,0.01,3333.6,,2.0
2025-07-11 05:00:00+00:00,fill,sell,0.01,3337.6,4.0,
2025-07-11 05:00:00+00:00,fill,sell,0.01,3339.6,5.0,
2025-07-11 05:00:00+00:00,fill,sell,0.01,3334.59,1.0,
2025-07-11 05:00:00+00:00,fill,sell,0.01,3336.59,2.0,
2025-07-11 05:00:00+00:00,fill,sell,0.01,3338.59,3.0,
2025-07-11 06:00:00+00:00,take_profit,sell,0.01,3335.6,,2.0
2025-07-11 06:00:00+00:00,take_profit,sell,0.01,3337.6,,2.0
2025-07-11 06:00:00+00:00,take_profit,sell,0.01,3332.59,,2.0
2025-07-11 06:00:00+00:00,take_profit,sell,0.01,3334.59,,2.0
2025-07-11 06:00:00+00:00,take_profit,sell,0.01,3336.59,,2.0
2025-07-11 07:00:00+00:00,fill,sell,0.01,3335.06,1.0,
2025-07-11 07:00:00+00:00,fill,sell,0.01,3337.06,2.0,
2025-07-11 07:00:00+00:00,fill,sell,0.01,3339.06,3.0,
2025-07-11 07:00:00+00:00,fill,sell,0.01,3341.06,4.0,
2025-07-11 08:00:00+00:00,take_profit,sell,0.01,3333.06,,2.0
2025-07-11 08:00:00+00:00,take_profit,sell,0.01,3335.06,,2.0
2025-07-11 08:00:00+00:00,take_profit,sell,0.01,3337.06,,2.0
2025-07-11 08:00:00+00:00,take_profit,sell,0.01,3339.06,,2.0
2025-07-11 08:00:00+00:00,fill,sell,0.01,3343.06,5.0,
2025-07-11 09:00:00+00:00,take_profit,sell,0.01,3341.06,,2.0
2025-07-11 09:00:00+00:00,fill,sell,0.01,3339.27,1.0,
2025-07-11 10:00:00+00:00,fill,sell,0.01,3341.27,2.0,
2025-07-11 10:00:00+00:00,fill,sell,0.01,3343.27,3.0,
2025-07-11 10:00:00+00:00,fill,sell,0.01,3345.27,4.0,
2025-07-11 10:00:00+00:00,fill,sell,0.01,3347.27,5.0,
2025-07-11 11:00:00+00:00,take_profit,sell,0.01,3343.27,,2.0
2025-07-11 11:00:00+00:00,take_profit,sell,0.01,3345.27,,2.0
2025-07-11 12:00:00+00:00,fill,sell,0.01,3347.95,1.0,
2025-07-11 12:00:00+00:00,fill,sell,0.01,3349.95,2.0,
2025-07-11 12:00:00+00:00,fill,sell,0.01,3351.95,3.0,
