datetime,equity,balance,used_margin,margin_level_pct
2023-07-11 23:00:00+00:00,500.0,500.0,0.0,
2023-07-12 00:00:00+00:00,500.77,500.0,19.3444,2588.70784309671
2023-07-12 01:00:00+00:00,499.33700000000044,500.0,38.73083,1289.2494170664572
2023-07-12 02:00:00+00:00,495.66200000000026,500.0,58.159679999999994,852.2433410912857
2023-07-12 03:00:00+00:00,494.18150000000014,500.0,58.174485,849.4815209795156
2023-07-12 04:00:00+00:00,495.845,500.0,58.15785,852.5848187304035
2023-07-12 05:00:00+00:00,495.73550000000023,500.0,58.158945,852.3804893641043
2023-07-12 06:00:00+00:00,502.53,504.0,19.3668,2594.8014127269344
2023-07-12 07:00:00+00:00,504.53999999999996,504.0,19.346700000000002,2607.886616322163
2023-07-12 08:00:00+00:00,504.57000000000016,504.0,19.3464,2608.0821238059807
2023-07-12 09:00:00+00:00,504.2249999999999,504.0,19.34985,2605.8341537531296
2023-07-12 10:00:00+00:00,504.48,504.0,19.3473,2607.495619543812
2023-07-12 11:00:00+00:00,504.845,504.0,19.34365,2609.874558317588
2023-07-12 12:00:00+00:00,512.6000000000001,504.0,116.3307,440.6403468731815
2023-07-12 13:00:00+00:00,456.9100000000003,506.0,97.47550000000001,468.7434278357128
2023-07-12 14:00:00+00:00,420.9125000000006,506.0,97.83547499999999,430.22482386884786
2023-07-12 15:00:00+00:00,421.77749999999946,506.0,97.826825,431.14708056813606
2023-07-12 16:00:00+00:00,418.02749999999946,506.0,97.86432500000001,427.1500365429378
2023-07-12 17:00:00+00:00,414.0600000000006,506.0,97.904,422.92449746690704
2023-07-12 18:00:00+00:00,417.4275,506.0,97.87032500000001,426.51079374672554
2023-07-12 19:00:00+00:00,413.8099999999997,506.0,97.90650000000001,422.6583526119304
2023-07-12 20:00:00+00:00,416.03500000000054,506.0,97.88425000000001,425.0275197490919
2023-07-12 22:00:00+00:00,420.9150000000011,506.0,97.83544999999998,430.2274891156541
2023-07-12 23:00:00+00:00,416.61249999999995,506.0,97.878475,425.6426144767785
2023-07-13 00:00:00+00:00,418.01000000000045,506.0,97.8645,427.13139085163715
2023-07-13 01:00:00+00:00,413.4600000000012,506.0,97.90999999999998,422.2857726483518
2023-07-13 02:00:00+00:00,405.7350000000008,506.0,97.98724999999999,414.0691773674645
2023-07-13 03:00:00+00:00,404.05250000000024,506.0,98.004075,412.2813260571055
2023-07-13 04:00:00+00:00,410.9600000000012,506.0,97.935,419.62526165313847
2023-07-13 05:00:00+00:00,423.11000000000035,506.0,97.8135,432.56810154017626
2023-07-13 06:00:00+00:00,409.3349999999998,506.0,97.95125,417.8966577761895
2023-07-13 07:00:00+00:00,393.4100000000001,506.0,98.1105,400.9866426121568
2023-07-13 08:00:00+00:00,398.1849999999997,506.0,98.06275000000001,406.05122740286157
2023-07-13 09:00:00+00:00,402.6350000000002,506.0,98.01825000000001,410.77554435015946
2023-07-13 10:00:00+00:00,403.53500000000054,506.0,98.00925,411.7315457469581
